+1,japan firm plan sell us farmland japanes morioka japan march 12 japanes real estat compani said launch campaign sell land us farm area rich japanes higashi nippon hous said would offer around 2200 acr land illinoi california florida indiana earli april gaug respons set intern farm corp america chicago last septemb overse oper american farmer would continu work tenant part profit harvest rice corn soybean orang would go japanes investor rental japanes agricultur ministri offici told reuter sale limit farmer keep land agricultur use two year ago began seek farmland japan said isao nakamura presid higashi nippon howev sale japanes farmland strictli control govern began look land us make dream farm land come true nakamura said hundr compani exist us sell farmland investor farmer face difficulti due recess us agricultur reuter 
-1,north bh set oneforf offer norgold float melbourn march 12 north broken hill hold ltd ltnbhame nbh said offer one ltnorgold ltd share everi five nbh share float newli creat gold offshoot 20 cent parvalu share offer 22 cent sharehold regist april 3 nbh said statement norgold issu capit 2405 mln share 63 pct held nbh 89 mln issu sharehold rais 196 mln dlr said norgold take control portfolio preciou metal explor predevelop interest held nbh major gold deposit acquir norgold 100 pct bottl creek deposit west leonora western australia nbh said product gold project annual rate 35000 ounc schedul begin earli 1988 norgold also 10 pct stake coron hill goldplatinum project northern territori 43 pct poona coppergold project south australia gold explor interest acquir norgold western australia queensland new south wale tasmania nbh said reuter 
-1,outokumpu copper deal iberica del cobr helsinki june 26 finland stateown mine compani outokumpu oy said statement enter spanish market sharehold iberica del cobr sa manufactur copper product outokumpu acquir 21 pct share spanish compani compani set agent outokumpu spain deal await approv spanish govern iberica del cobr make tube rod roll drawn copper alloy product sale 87000 tonn output 1986 amount 22 billion peseta outokumpu turnov 1986 758 billion markka reuter 
+1,rotterdam grain handler say port balanc rose rotterdam april 13 graan elev mij gem said balanc port grain oilse deriv rose 146000 tonn april 11 111000 week earlier arriv 404000 tonn discharg 369000 tonn last week balanc compris 21000 tonn grain plu oilse 125000 tonn deriv week estim arriv total 274000 tonn 71000 grainsoilse 203000 deriv figur cover around 95 pct rotterdam traffic product concern reuter 
+1,us senat panel vote limit counti loan rate chang start 1988 crop date text 
+1,ussr seen like honor corn commit washington march 9 soviet union like honor commit unit state buy minimum four mln tonn corn year agricultur depart offici said alway honour agreement there reason think wont year told reuter aggress buy campaign european commun canada us theyr activ buyer sourc point offici said explain depart rais soviet grain import estim today three mln tonn 26 mln tonn dramat shift month ago analyst say ussr might buy us corn first time 15 year drawdown corn suppli china argentina concern soviet winter crop increas competit us corn cite possibl factor creat moscow recent interest lower corn product prospect major suppli countri stir activ big buyer japan soviet also close watch situat offici said soviet tri outcapit capitalist buy corn price get high offici said soon need corn theyll buy ad usda confirm one mln tonn corn sold soviet union us soviet analyst said purchas stand 15 mln tonn usda offici would specul soviet would enter us market definit evolv mind set situat slow grain buy coupl month ago one frenet buy offici said howev situat wheat differ stori said greater world suppli wheat heavier soviet purchas commit less competit us wheat price make soviet purchas us wheat less like said specul continu sever day us consid make export bonu wheat subsidi offer soviet us offici provid confirm reuter 
-1,london gold morn fix highest sinc octob london april 13 gold bullion continu move higher support good gener buy fix morn 43650 dlr 268368 stg ounc friday close 4320050 dealer said set highest sinc octob 8 gold built friday gain base weak dollar fear trade war unit state japan open slightli firmer 4335043400 move steadili morn support commiss hous trade buy dealer said dealer said resist around 44000 sentiment still firm trader believ ralli may even take gold high 500 dlr platinum fix morn 58350 dlr ounc friday close 5785058050 also highest set sinc octob reuter 
+1,uk wheat barley export adjust upward london march 3 uk export 535460 tonn wheat 336750 tonn barley januari home grown cereal author hgca said quot adjust custom excis figur base previou januari figur issu februari 9 wheat export increas nearli 64000 tonn barley 7000 tonn new figur bring cumul w heat export period juli 1februari 13 299 mln tonn barley 296 mln compar 125 189 mln tonn respect year ago januari wheat export compris 251000 tonn european commun destin 284000 tonn third countri soviet union promin third countri destin take 167700 tonn poland credit 54500 south korea 50000 tonn itali largest ec recipi 75000 tonn follow west germani 55200 franc 52000 tonn barley export januari compris 103700 tonn ec 233000 third countri soviet union largest singl import 133265 tonn follow saudi arabia 53800 tonn reuter 
-1,africa mine manag face charg disast johannesburg march 5 seven manag employe gener mine union corp ltd kinross mine ltd face charg culpabl homicid follow last year disast 177 gold miner die attorney gener offic said minework kill last septemb kinross fire set toxic fume suffoc miner underground three accus face altern charg break safeti regul set mine work act spokesman said case would probabl heard witbank region court near kinross midmay reuter 
+1,sugar quota import detail usda washington feb 26 us agricultur depart said cumul sugar import individu countri 1987 quota year began januari 1 1987 end decemb 31 1987 follow quota alloc quota year short ton raw valu cumul quota 1987 import alloc argentina nil 39130 australia nil 75530 barbado nil 7500 beliz nil 10010 bolivia nil 7500 brazil nil 131950 canada nil 18876 quota 1987 import alloc colombia 103 21840 congo nil 7599 costa rica nil 17583 ivori coast nil 7500 dom rep 5848 160160 ecuador nil 10010 el salvador nil 260198 fiji nil 25190 gabon nil 7500 quota 1987 import alloc guatemala nil 43680 guyana nil 10920 haiti nil 7500 hondura nil 159172 india nil 7500 jamaica nil 10010 madagascar nil 7500 malawi nil 9100 quota 1987 import alloc mauritiu nil 10920 mexico 37 7500 mozambiqu nil 11830 panama nil 26390 papua new guinea nil 7500 paraguay nil 7500 peru nil 37310 philippin nil 143780 stchristoph nevi nil 7500 quota 1987 import alloc swaziland nil 14560 taiwan nil 10920 thailand nil 12740 trinidadtobago nil 7500 uruguay nil 7500 zimbabw nil 10920 reuter 
